Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGoodAPI,,,2561-11-11 20:26:07,2561-11-11 20:26:46,38.599s,FAILED
,,,,,,
Test Cases/Api/Good-API/TC001_Equilateral,,,2561-11-11 20:26:07,2561-11-11 20:26:12,4.242s,PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:100, value_c:100]))",,,2561-11-11 20:26:08,2561-11-11 20:26:09,1.481s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:09,2561-11-11 20:26:09,0.027s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:09,2561-11-11 20:26:10,0.084s,PASSED
,,,,,,
Test Cases/Api/Good-API/TC002_Isosceles,,"a = 100
b = 100
c = 100",2561-11-11 20:26:12,2561-11-11 20:26:14,2.843s,PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:100, value_c:1]))",,,2561-11-11 20:26:12,2561-11-11 20:26:12,0.541s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:12,2561-11-11 20:26:12,0.004s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:12,2561-11-11 20:26:12,0.015s,PASSED
,,,,,,
Test Cases/Api/Good-API/TC003_Isosceles,,"a = 100
b = 100
c = 100",2561-11-11 20:26:14,2561-11-11 20:26:17,2.602s,PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TriangleServiceGoodAPI, [value_a:100, value_b:1, value_c:100]))",,,2561-11-11 20:26:15,2561-11-11 20:26:15,0.354s,PASSED
verifyResponseStatusCode,,,2561-11-11 20:26:15,2561-11-11 20:26:15,0.003s,PASSED
verifyElementPropertyValue,,,2561-11-11 20:26:15,2561-11-11 20:26:15,0.013s,PASSED
,,,,,,
Test Cases/Api/Good-API/TC004_Isosceles,,"a = 100
b = 100
c = 100",2561-11-11 20:26:17,2561-11-11 20:26:20,2.925s,PASSED
